La Promenade Café,4.5(427) · $,Cafe · 3643 Balboa St,"Airy space for coffee, bagels & lunch",Open ⋅ Closes 5 PM
Lady Falcon Coffee Club,4.3(87),Coffee shop · Park,Vintage coffee truck for espresso drinks,Open ⋅ Closes 3 PM
Lafayette Coffee Shop,4.2(206) · $,Coffee shop · 611 Larkin St,Open ⋅ Closes 9 PM,
Le Cafe du Soleil,4.5(539) · $,Cafe · 400 Waller St,French bistro with sidewalk seating,Open ⋅ Closes 5 PM
Le Petit Cafe,4.3(8) · $,Cafe · 1 Maritime Plz # Grnd,Counter serve for breakfast & lunch fare,Closed ⋅ Opens 8 AM Fri
Linea Caffe,4.5(334) · $$,Coffee shop · 3417 18th St,Snug cafe offering organic coffees,Closes soon ⋅ 2 PM ⋅ Opens 7 AM Fri
Maggie's Cafe,3.1(104),Cafe · 848 Grant Ave,Open ⋅ Closes 4 PM,
Martha & Brothers Coffee Company,4.5(294) · $,Coffee shop · 3868 24th St,Low-key stop for coffee & baked goods,Open ⋅ Closes 7:30 PM
Matching Half,4.5(376) · $$,Coffee shop · 1799 McAllister St,Arty coffee shop with light fare,Open ⋅ Closes 3 PM
Mazarine Coffee,"4.5(1,511) · $$",Coffee shop · 720 Market St,Stylish cafe for espresso & light bites,Open ⋅ Closes 3 PM
Mazarine Coffee,"4.5(1,511) · $$",Cafe · 720 Market St,Stylish cafe for espresso & light bites,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Mercury Cafe,4.3(309) · $$,Cafe · 201 Octavia St,Light-filled space with an organic menu,Open ⋅ Closes 3 PM
Milk-SF,4.7(76),Cafe · 302 Valencia St,Open ⋅ Closes 4 PM,
Mission Blue,5.0(145),Coffee shop · 144 Leland Ave,Modern retail shop for coffee & pastries,Open ⋅ Closes 3 PM
Morning Brew Coffee & Tea,3.6(20) · $$,Cafe · 401 Sansome St,Unassuming stop for banh mi & espresso,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Mo'z Cafe,"4.2(1,162) · $$",Cafe · 36 5th St,Neighborhood cafe known for breakfast,Closed ⋅ Opens 6 AM Fri
Muddy Waters Coffee House,4.1(292) · $,Coffee shop · 521 Valencia St,No-frills coffee shop,Open ⋅ Closes 3 PM
Müesi Cafe,4.5(119),Coffee shop · 2055 Union St Suite B,Open ⋅ Closes 5:30 PM,
Mymy,"4.5(1,610) · $$",Coffee shop · 1500 California St,Bright corner spot for big breakfasts,Closes soon ⋅ 2 PM ⋅ Opens 9 AM Fri
Mymy,"4.5(1,610) · $$",Cafe · 1500 California St,Bright corner spot for big breakfasts,Closed ⋅ Opens 9 AM Fri
Nina's Cafe,4.3(18),Cafe · 201 Fell St,Corner deli & coffee shop,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
Noe Cafe,4.7(277),Coffee shop · 1299 Sanchez St,Intimate spot for coffee & snacks,Open ⋅ Closes 7 PM
Pat's Cafe,"4.5(1,308) · $$",Cafe · 2330 Taylor St,American eatery with a laid-back brunch,Closed ⋅ Opens 7:30 AM Fri
Peet's Coffee,4.2(709) · $,Coffee shop · 773 Market St,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM
Peet's Coffee,4.3(462) · $,Coffee shop · 1400 Mission St Suite 130,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
Peet's Coffee,4.2(223) · $,Coffee shop · 160 Jefferson St,Coffeehouse chain also known for its tea,Open ⋅ Closes 9 PM
Peet's Coffee,4.2(352) · $,Coffee shop · 601 Van Ness Ave,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
Peet's Coffee,4.4(179) · $,Coffee shop · 625 8th St,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
Peet's Coffee,3.8(24) · $,Coffee shop · 155 Montgomery St #161,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
Peet's Coffee,4.3(145) · $,"Coffee shop · Two Embarcadero Center, Front Street Suite R2113",Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
Peet's Coffee,4.2(152) · $,Coffee shop · 595 Market St Suite 143,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
