id,name,rating,address,description,openclose
131,Mymy,"4.5(1,610) · $$",1500 California St,Bright corner spot for big breakfasts,Closes soon ⋅ 2 PM ⋅ Opens 9 AM Fri
132,Nina's Cafe,4.3(18),201 Fell St,Corner deli & coffee shop,Closed ⋅ Opens 9 AM Fri
133,Noe Cafe,4.7(277),1299 Sanchez St,Intimate spot for coffee & snacks,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri
134,Pat's Cafe,"4.5(1,308) · $$",2330 Taylor St,American eatery with a laid-back brunch,Open ⋅ Closes 7 PM
135,Peet's Coffee,4.2(709) · $,773 Market St,Coffeehouse chain also known for its tea,Closed ⋅ Opens 7:30 AM Fri
136,Peet's Coffee,4.3(462) · $,1400 Mission St Suite 130,Coffeehouse chain also known for its tea,Open ⋅ Closes 7 PM
137,Peet's Coffee,4.2(223) · $,160 Jefferson St,Coffeehouse chain also known for its tea,Open ⋅ Closes 4 PM
138,Peet's Coffee,4.2(352) · $,601 Van Ness Ave,Coffeehouse chain also known for its tea,Open ⋅ Closes 9 PM
139,Peet's Coffee,4.4(179) · $,625 8th St,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
140,Peet's Coffee,3.8(24) · $,155 Montgomery St #161,Coffeehouse chain also known for its tea,Open ⋅ Closes 6 PM
141,Peet's Coffee,4.3(145) · $,Two Embarcadero Center,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
142,Peet's Coffee,4.2(152) · $,595 Market St Suite 143,Coffeehouse chain also known for its tea,Open ⋅ Closes 5 PM
143,Philz Coffee,"4.5(1,134) · $$",5 Embarcadero Ctr,Custom-blended java in a casual setting,Open ⋅ Closes 4 PM
144,Philz Coffee,"4.6(1,358) · $$",3101 24th St,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
145,Philz Coffee,"4.5(1,222) · $$",1 Front St #100,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
146,Philz Coffee,4.4(612) · $$,399 Golden Gate Ave,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
147,Philz Coffee,4.5(917) · $$,201 Berry St,Custom-blended java in a casual setting,Open ⋅ Closes 5:30 PM
148,Philz Coffee,4.6(518) · $$,1775 17th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
149,Philz Coffee,4.5(919) · $$,549 Castro St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
150,Piccino Coffee Bar & Bakery,4.4(138),845 22nd St,Open ⋅ Closes 5:30 PM,
151,Pinhole Coffee,4.7(480) · $$,231 Cortland Ave,Storefront coffeehouse with pastry,
152,Planet Cafe,4.7(44) · $,244 Gough St,Revamped American cafe for casual bites,
153,Progressive Grounds,4.5(383) · $,400 Cortland Ave,Coffeehouse with ice cream & patio,Open ⋅ Closes 5:30 PM
154,Radiator coffee salon,3.7(18),299 2nd St,Closed ⋅ Opens 6 AM Fri,Closes soon ⋅ 2 PM ⋅ Opens 7:30 AM Fri
155,Red Bay Coffee Ferry Building,4.0(172),"1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,Open ⋅ Closes 6 PM
156,Réveille Coffee Co.,4.3(738) · $$,200 Columbus Ave,Modern cafe with New American fare,
157,Réveille Coffee Co.,3.8(4),768 Sansome St,Temporarily closed,
158,Rise & Grind Coffee and Tea,4.5(370) · $,785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 4 PM
159,Ritual Coffee Roasters,4.5(455) · $$,432b Octavia St,Coffeehouse using small-farm beans,
160,Ritual Coffee Roasters,"4.3(1,512) · $$",1026 Valencia St,Coffeehouse using small-farm beans,Open ⋅ Closes 5 PM
161,Ritual Coffee Roasters,4.4(440) · $$,1300 Haight St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
162,Rose's Cafe,4.4(826) · $$,2298 Union St,Relaxed Italian cafe with a terrace,Open ⋅ Closes 7 PM
163,Saint Frank Coffee,"4.5(1,056) · $$",2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
164,Sammie Cafe,5.0(4),Coffee shop 881 Post Street,Closed ⋅ Opens 8 AM Fri,Open ⋅ Closes 9 PM
165,Sammy's Cafe,4.6(128) · $,1416 Bush St,Homey breakfast & sandwich establishment,Open ⋅ Closes 6 PM
166,San Francisco Coffee Company,4.7(12),70 13th St,Open ⋅ Closes 5 PM,
167,Sana’a cafe,4.9(87),199 New Montgomery St,Open ⋅ Closes 10 PM,Closes soon ⋅ 3 PM ⋅ Opens 8:30 AM Fri
168,Schilling & Co Cafe,4.6(48) · $$,667 Commercial St,Closed ⋅ Opens 8 AM Fri,
169,Scullery,4.7(345) · $,Coffee shop · 687 Geary St,"Tiny, artsy cafe for coffee & pastries",
170,Seismic Joint,2.8(22),"Pier 15, 698 The Embarcadero",Museum cafe with coffee & sweet treats,
171,Sextant Coffee Roasters,4.5(595) · $$,1415 Folsom St,Coffeehouse with exposed brick & beams,Closes soon ⋅ 2 PM ⋅ Opens 7 AM Fri
172,Sightglass Coffee,"4.5(2,835) · $$",270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
173,Sightglass Coffee,4.4(473) · $$,301 Divisadero St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 4 PM
174,Sightglass Coffee,4.5(607) · $$,3014 20th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
175,Sisters Coffee Shop,4.2(91),920 Valencia St,Open ⋅ Closes 5 PM,Open ⋅ Closes 5 PM
176,Snowbird Coffee,4.5(461) · $$,1352 9th Ave A,Closed ⋅ Opens 8 AM Fri,Open ⋅ Closes 5 PM
177,South Beach Cafe,4.2(342) · $,800 The Embarcadero,Coffee shop & pizzeria,
178,Souvenir Coffee,4.7(69),262 Divisadero St,Open ⋅ Closes 5 PM,
179,SPRO - Mission Bay/SOMA,4.7(260) · $$,601 Mission Bay Boulevard North,Outdoor stop for coffee drinks & eats,Open ⋅ Closes 8:30 PM
180,SPRO - Mission Dolores/Castro,4.7(247),500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 4 PM
181,Stable Cafe,4.6(834) · $$,2128 Folsom St,Coffeehouse in former carriage house,Open ⋅ Closes 5 PM
182,Stanza Coffee Bar,4.2(204) · $,1673 Haight St,Upbeat nook serving espresso & pastries,Open ⋅ Closes 5 PM
183,Starbucks,4.2(493) · $$,865 Market Street San Francisco Centre,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 3 PM
